author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
345299        ,3526        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
7809971       ,4696        ,0       ,0       ,0             ,0      ,1      ,1       ,0       ,0    ,6
3201363       ,555         ,0       ,1       ,1             ,0      ,0      ,0       ,1       ,0    ,0
6244880       ,6666        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,1
3089090       ,2364        ,1       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,1
8484231       ,1005        ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,0
9054631       ,5951        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,0
4127779       ,2429        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,0
8689073       ,7557        ,0       ,0       ,0             ,1      ,1      ,1       ,0       ,1    ,0
8251308       ,1894        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,0    ,0
3201363       ,555         ,0       ,1       ,1             ,0      ,0      ,0       ,1       ,0    ,0
5932358       ,7545        ,0       ,0       ,1             ,0      ,1      ,1       ,0       ,0    ,0
6162678       ,2180        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,0
7362913       ,6805        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
9057432       ,3428        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,4
4515113       ,744         ,0       ,0       ,0             ,1      ,1      ,0       ,0       ,1    ,10
1559022       ,5671        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,7
4949391       ,7574        ,0       ,1       ,0             ,0      ,1      ,0       ,1       ,0    ,0
4454615       ,3775        ,0       ,0       ,1             ,1      ,0      ,1       ,0       ,0    ,0
6547843       ,1652        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
4513099       ,3019        ,0       ,0       ,0             ,0      ,0      ,0       ,0       ,0    ,1
895470        ,8285        ,0       ,0       ,0             ,1      ,1      ,0       ,0       ,0    ,0
4633622       ,6512        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
345299        ,3526        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,4
3777336       ,3895        ,0       ,0       ,0             ,0      ,0      ,0       ,0       ,0    ,0
4140149       ,3334        ,0       ,0       ,1             ,1      ,0      ,0       ,1       ,1    ,0
5134461       ,7048        ,0       ,1       ,0             ,0      ,0      ,0       ,0       ,1    ,0
5078912       ,8272        ,0       ,1       ,0             ,0      ,0      ,1       ,1       ,0    ,0
8749950       ,6972        ,0       ,0       ,0             ,1      ,1      ,1       ,0       ,0    ,0
2424811       ,1810        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,0
8400305       ,2807        ,0       ,1       ,0             ,0      ,1      ,0       ,1       ,0    ,3
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,2
8363469       ,7599        ,0       ,0       ,0             ,0      ,0      ,0       ,0       ,0    ,0
188571        ,333         ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,1
5530692       ,7345        ,1       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,4
2434090       ,6652        ,0       ,0       ,1             ,1      ,0      ,1       ,1       ,0    ,0
2003359       ,6127        ,0       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,0
8684533       ,5507        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,13
233776        ,4876        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
6165834       ,8112        ,0       ,0       ,1             ,1      ,1      ,1       ,0       ,0    ,0
1087609       ,6979        ,0       ,0       ,1             ,0      ,1      ,1       ,0       ,0    ,0
8484231       ,1005        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,2
8093450       ,2280        ,0       ,0       ,0             ,1      ,1      ,1       ,0       ,0    ,0
4633622       ,6512        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
2894227       ,2144        ,1       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,1
9129675       ,413         ,0       ,1       ,0             ,0      ,0      ,1       ,1       ,0    ,0
2762543       ,7070        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,0    ,2
820600        ,3764        ,0       ,1       ,1             ,0      ,0      ,1       ,1       ,0    ,2
6816680       ,2155        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
79181         ,7954        ,0       ,0       ,1             ,0      ,1      ,0       ,0       ,0    ,0
2069724       ,2030        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,0    ,9
1117628       ,4069        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,3
9039504       ,7527        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,1    ,0
1427380       ,4224        ,0       ,0       ,1             ,1      ,1      ,0       ,1       ,0    ,4
4503464       ,475         ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,0
2229006       ,7652        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,0    ,0
3013640       ,6231        ,0       ,1       ,0             ,0      ,1      ,0       ,0       ,0    ,3
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,1
7028851       ,3595        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,0
7500658       ,6946        ,0       ,0       ,1             ,1      ,0      ,1       ,1       ,0    ,0
7028851       ,3595        ,0       ,0       ,0             ,0      ,1      ,1       ,0       ,0    ,0
5120564       ,719         ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,0    ,0
1236856       ,2164        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,1       ,1       ,1    ,2
3326272       ,94          ,0       ,0       ,1             ,1      ,1      ,0       ,1       ,0    ,0
3407620       ,7896        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,3
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,1       ,1       ,0    ,2
2531206       ,2319        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,1    ,29
7028851       ,3595        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,1
1087609       ,6979        ,0       ,0       ,1             ,0      ,1      ,1       ,0       ,0    ,0
5981931       ,3007        ,0       ,0       ,0             ,1      ,1      ,0       ,0       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,1    ,0
2157126       ,2915        ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,5
5981931       ,3007        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,1    ,0
6965954       ,7524        ,0       ,0       ,1             ,1      ,1      ,0       ,1       ,0    ,4
1578017       ,2666        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,0    ,1
8428869       ,3034        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,4
3013640       ,6231        ,0       ,1       ,0             ,0      ,1      ,0       ,0       ,0    ,5
8487509       ,7335        ,0       ,1       ,1             ,0      ,1      ,1       ,0       ,0    ,4
4518777       ,5944        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,1    ,3
9129675       ,413         ,0       ,1       ,0             ,0      ,1      ,0       ,1       ,0    ,0
873942        ,8195        ,0       ,1       ,1             ,1      ,0      ,1       ,0       ,1    ,0
6165834       ,8112        ,0       ,0       ,1             ,1      ,1      ,1       ,0       ,0    ,1
1448310       ,689         ,0       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,0
4064358       ,2462        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
9111944       ,836         ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,0    ,0
7991091       ,4451        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,1       ,1       ,1    ,4
7254569       ,7061        ,0       ,1       ,1             ,0      ,0      ,1       ,0       ,0    ,0
1982529       ,3525        ,0       ,0       ,1             ,0      ,0      ,1       ,1       ,0    ,3
2043404       ,7441        ,0       ,1       ,1             ,1      ,0      ,0       ,1       ,0    ,0
7392262       ,7582        ,0       ,1       ,1             ,0      ,0      ,1       ,0       ,0    ,0
2323348       ,5380        ,0       ,1       ,0             ,1      ,1      ,1       ,0       ,0    ,0
7392262       ,7582        ,0       ,1       ,1             ,0      ,0      ,1       ,0       ,0    ,0
8214250       ,8148        ,0       ,1       ,1             ,0      ,0      ,1       ,1       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,8
8348893       ,4144        ,0       ,1       ,0             ,0      ,1      ,1       ,1       ,0    ,0
