jobid,filename,file,mpi_size,code_version,runid,graph,metis_zero_based,tweets,stats,params,discount,corr,source_map,indir,outdir,features,sources,samples,epsilon,max_depth,max_nodes,sample_split,seed,command,topic,setuptime,cfeatures,csources,csamples,mae_retweet_probability,mae_mean_retweets,mape_retweet_probability,mape_mean_retweets,runtime,totaltime,nodes,mpiprocs,walltime,grid,opt
1349552,out-val-opt-neos_1341840_1349552.hawk-pbs5-20210903T1831.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349552.hawk-pbs5/out-val-opt-neos_1341840_1349552.hawk-pbs5-20210903T1831.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349552.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349552.hawk-pbs5,1,256,1000,1.0,,,1,270311220771397127843118564334423733485,val,neos_20201110,1.7128345966339111,91,256,1000,0.0006933025247677,0.6084108183823342,0.0014912622561541,0.1695562927803576,76.29021334648132,79.96659278869629,1,,,,
1349553,out-val-opt-neos_1341840_1349553.hawk-pbs5-20210903T1831.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349553.hawk-pbs5/out-val-opt-neos_1341840_1349553.hawk-pbs5-20210903T1831.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349553.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349553.hawk-pbs5,1,256,1000,1.0,,,1,165915337866699351317147783744803078562,val,neos_20201110,1.7018845081329346,91,256,1000,0.0007336157014996,0.6314352885652046,0.0015779740691626,0.175972917352911,73.92019319534302,77.57230305671692,1,,,,
1349554,out-val-opt-neos_1341840_1349554.hawk-pbs5-20210903T1832.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349554.hawk-pbs5/out-val-opt-neos_1341840_1349554.hawk-pbs5-20210903T1832.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349554.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349554.hawk-pbs5,1,256,1000,1.0,,,1,73409965355659820666089506675817327502,val,neos_20201110,1.7537171840667725,91,256,1000,0.0006751508779875,0.6171895740003149,0.0014522188879804,0.1720028193917141,76.41754221916199,80.04212069511414,1,,,,
1349555,out-val-opt-neos_1341840_1349555.hawk-pbs5-20210903T1832.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349555.hawk-pbs5/out-val-opt-neos_1341840_1349555.hawk-pbs5-20210903T1832.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349555.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349555.hawk-pbs5,1,256,1000,1.0,,,1,231845426238423161039478037621008537960,val,neos_20201110,1.7735085487365725,91,256,1000,0.0007172159591562,0.6637884184615274,0.0015426989678993,0.1849893197562203,76.73021101951599,80.39551162719727,1,,,,
1349556,out-val-opt-neos_1341840_1349556.hawk-pbs5-20210903T1832.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349556.hawk-pbs5/out-val-opt-neos_1341840_1349556.hawk-pbs5-20210903T1832.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349556.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349556.hawk-pbs5,1,256,1000,1.0,,,1,142563965856568232057658413213835584142,val,neos_20201110,1.772714376449585,91,256,1000,0.0006473727645544,0.5933144418975863,0.0013924694270594,0.1653491262510441,80.66984438896179,84.33311033248901,1,,,,
1349560,out-val-opt-fpoe_1341842_1349560.hawk-pbs5-20210903T1835.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1349560.hawk-pbs5/out-val-opt-fpoe_1341842_1349560.hawk-pbs5-20210903T1835.txt,128,v0.2-36-g06ec3af,val-opt-fpoe_1341842_1349560.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1349560.hawk-pbs5,1,256,1000,1.0,,,1,262803101931636810990631864588137479126,val,fpoe_20201110,0.630119800567627,132,256,1000,0.0006031480949686,0.9292314421726162,0.001274068998112,0.1869164121762681,441.0537922382355,448.2367193698883,1,,,,
1349561,out-val-opt-fpoe_1341842_1349561.hawk-pbs5-20210903T2148.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1349561.hawk-pbs5/out-val-opt-fpoe_1341842_1349561.hawk-pbs5-20210903T2148.txt,1024,v0.2-37-g9665f46,val-opt-fpoe_1341842_1349561.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1349561.hawk-pbs5,1,256,1000,1.0,,,1,297622456375555809003831250194460436525,val,fpoe_20201110,28.74057340621948,132,256,1000,0.0007323070878882,0.93082604472828,0.0015468999497125,0.18723716906742,128.85161662101746,162.32809114456177,8,,,,
1349562,out-val-opt-fpoe_1341842_1349562.hawk-pbs5-20210903T1835.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1349562.hawk-pbs5/out-val-opt-fpoe_1341842_1349562.hawk-pbs5-20210903T1835.txt,512,v0.2-36-g06ec3af,val-opt-fpoe_1341842_1349562.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1349562.hawk-pbs5,1,256,1000,1.0,,,1,92360063115350665584068110609207366048,val,fpoe_20201110,27.66795039176941,132,256,1000,0.0007002241835491,0.9312204342272608,0.0014791291416327,0.1873165011549967,159.24468851089478,191.15627574920651,4,,,,
1349563,out-val-opt-fpoe_1341842_1349563.hawk-pbs5-20210904T0820.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1349563.hawk-pbs5/out-val-opt-fpoe_1341842_1349563.hawk-pbs5-20210904T0820.txt,2048,v0.2-37-g9665f46-dirty,val-opt-fpoe_1341842_1349563.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1349563.hawk-pbs5,1,256,1000,1.0,,,1,285664048686408331695906922088155516056,val,fpoe_20201110,26.42687582969665,132,256,1000,0.0007164060111666,1.021292262981872,0.0015133110698726,0.2054345956413428,114.290536403656,145.20679807662964,16,,,,
1349564,out-val-opt-fpoe_1341842_1349564.hawk-pbs5-20210903T2154.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1349564.hawk-pbs5/out-val-opt-fpoe_1341842_1349564.hawk-pbs5-20210903T2154.txt,1024,v0.2-37-g9665f46,val-opt-fpoe_1341842_1349564.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1349564.hawk-pbs5,1,256,1000,1.0,,,1,319642948750816337832118273569190124254,val,fpoe_20201110,26.861120462417603,132,256,1000,0.0007616885372003,0.9922541663108958,0.0016089642984196,0.1995935353846257,119.12318396568298,150.53624844551086,8,,,,
